cpu_util_percent,mem_util_percent,net_in,net_out,disk_io_percent
35.186922884951336,91.19990017469428,43.992702770152235,34.914050411779385,5.039430995757424
25.985532551758542,91.35046146171115,43.98741332002994,34.91498129209279,5.040658518333749
26.04956413449564,91.39800747198008,43.98561892901619,34.910124533001245,6.293399750933998
23.919640628899426,91.28799600698777,43.99427002745196,34.91872972298478,6.2997254804092835
25.031320471059885,91.04009020295665,44.01132798797294,34.93688048108243,4.687296416938111
21.259471585244267,90.92472582253241,43.995488534396806,34.91871884346959,4.698155533399801
24.1463110667996,90.8980558325025,43.99415004985045,34.91834247258225,4.377617148554337
24.13622754491018,90.9807884231537,43.991933632734536,34.91700848303393,4.376746506986028
24.625965611761774,90.97607774732121,43.98778968352853,34.91322950411164,3.926987291303264
22.46711509715994,91.23418036870952,43.98329347284504,34.90895366218236,3.9267563527653215
26.029690618762476,91.30339321357286,44.00431886227545,34.926506986027945,4.041666666666667
26.42177379172895,91.67214748380668,43.9973692077728,34.920313901345295,4.0391131041355255
29.041895261845386,92.1643391521197,44.00215960099751,34.9239825436409,4.545386533665836
31.433731938216244,92.86995515695067,43.998413054309914,34.92110612855008,4.5440956651718984
34.922981056829514,92.87637088733798,43.9969965104686,34.91924227318046,4.575024925224327
41.1395812562313,92.86241276171485,43.99700897308076,34.91819292123629,4.5740279162512465
39.764794007490636,92.18976279650437,44.00425218476904,34.925772784019976,6.974531835205992
33.97707450784949,91.514079242462,44.00526538749066,34.925968103663095,6.9755793670570645
34.78774289985052,91.24040857000499,44.00112107623318,34.92339312406577,6.395615346287992
35.015956120668164,91.07354774370481,44.00692595362752,34.92808775866367,6.3966591872351035
37.61957064403395,91.27983025461808,43.998479780329504,34.92026959560659,7.490763854218672
33.9838026414154,91.39172688761525,44.00220782457014,34.92458260652878,7.492150510839771
35.40084915084915,90.88436563436564,44.00431068931069,34.92442557442557,6.554445554445555
35.096057884231534,91.0873253493014,44.00266966067865,34.92690618762475,6.549401197604791
35.08050847457627,90.6438185443669,44.0032701894317,34.92480807577268,6.1365902293120635
34.89570858283433,90.5993013972056,44.00900948103792,34.9296756487026,6.136726546906187
33.62914898926878,90.50761167956077,44.00359371100574,34.92804342400799,5.901921637135014
33.43840399002494,90.2780548628429,44.004650872817955,34.92683790523691,5.901246882793018
41.631526355233575,90.38421184111917,44.01516612540594,34.933240069947544,5.4938795903072695
33.87017194119113,90.09668577124346,44.007572888113636,34.92993271866434,5.492399700971841
40.79855217174239,90.76485272091863,44.00765851223165,34.927471293060414,6.245881178232651
33.189822898478425,89.98453479670741,44.006595160888004,34.930244449987526,6.243701671239711
33.25940692748567,89.98155993022677,44.006962372290054,34.92865935708946,5.649887864440569
34.028906055320206,90.43608273112385,44.00849987540493,34.93017941689509,5.649638674308497
36.117368552205335,90.40219287316222,44.00886369299776,34.92993770246698,5.22003488661849
37.905391912131805,91.1245631552671,44.011782326510236,34.93215177234149,5.222166749875187
38.24968851233491,91.20857214054324,43.99818838773985,34.92073012708697,6.975080986792923
41.851972041937096,91.84623065401897,44.00578382426361,34.9265501747379,6.979530703944084
43.800099700897306,91.84970089730808,44.009668494516454,34.93164257228315,9.6580259222333
43.18609865470852,92.02715495764824,44.01184354758346,34.93284753363229,9.658445440956651
48.61555721765146,92.11069558713538,44.008357018199945,34.93080777860882,10.838693592620293
48.44821562266034,92.14125280758672,44.00656351385076,34.92642375842276,10.838782131270277
47.37936191425723,91.74975074775674,44.01749002991027,34.936884346959125,8.969341974077766
42.82812890332251,91.14514114414189,44.017731701224086,34.939532850362234,8.967774169372971
38.55883087684237,90.26555083687235,44.008388708468644,34.929857606794904,8.566575068698477
36.69177057356608,88.53765586034913,44.024331670822946,34.94139650872818,8.566084788029926
34.14050411779386,87.48540054903918,44.018220613925635,34.93272772647866,6.4472173696031945
