cpu_usage,assigned_mem
6276035.308040864,1986350.0
6219367.923409251,1987570.0
6246654.768215014,1988396.0
6228661.1207587635,1988116.0
6131961.253479797,1987970.0
6356275.274121323,1989952.0
6260927.665703011,1991812.0
6229849.868505742,1992188.0
6318196.173646111,1992006.0
6381282.164168262,1991520.0
6289880.306593644,1989998.0
6340046.468743002,1989032.0
6302571.228406109,1985252.0
6242485.892226401,1987564.0
6206232.957554165,1991330.0
6132623.270886676,1989324.0
6142332.691996157,1985880.0
6330841.838258124,1984992.0
6199626.716271379,1982434.0
6145881.430726663,1975704.0
6226124.875601119,1971982.0
6220131.959300913,1974502.0
6180248.639736739,1975478.0
6258869.412738954,1976242.0
6123950.497767394,1975878.0
6111380.132761101,1974636.0
6090165.942410558,1970456.0
5997433.683245021,1966592.0
6060315.133014026,1965712.0
6195726.924306164,1967900.0
6072301.047254862,1958096.0
6032218.454617242,1956396.0
6101655.987818642,1950688.0
6094858.945451513,1950386.0
6051214.341023588,1953118.0
6110685.060081461,1955398.0
6005091.688535044,1958222.0
6018768.284469015,1960322.0
6109054.631497015,1962184.0
6008329.897490883,1962472.0
5826125.379948096,1963214.0
6083548.301318355,1965506.0
5968076.634467349,1966986.0
5898958.4336119965,1966880.0
5996348.181822586,1965334.0
6066740.35953978,1965230.0
5964933.979548827,1962500.0
5905285.960404463,1961462.0
5836756.347651874,1963532.0
5852593.104327314,1964540.0
5877043.803808279,1959442.0
5782038.563896378,1946674.0
5754375.543794328,1944540.0
6008478.84284285,1946622.0
5929744.904954821,1949226.0
6140705.123237323,1949428.0
6064988.615186018,1945238.0
6013874.369385457,1943600.0
6081231.220613716,1943854.0
6121662.2343564825,1941176.0
5943483.637148315,1940968.0
5935758.838284146,1941234.0
6003326.5889974395,1941806.0
5979436.728955894,1943452.0
5898737.490554631,1944102.0
6086938.148758061,1946318.0
5972106.981802954,1947384.0
5895620.475684112,1945928.0
5971504.659185036,1944814.0
5847921.446850009,1942690.0
5838102.954393388,1941586.0
5913002.378690716,1940278.0
5830438.4996829,1940666.0
5771245.129848761,1940290.0
5805177.0366099365,1940082.0
5748402.448029819,1941820.0
5693760.696899863,1941750.0
5927148.4106183015,1941174.0
5784115.279926876,1940186.0
5742042.389966042,1937368.0
5794918.615415387,1936180.0
5771439.064093819,1936144.0
5732787.218424699,1934800.0
5752615.806832963,1932282.0
5680123.868813647,1932016.0
5736965.983784984,1931464.0
5788724.075941338,1928286.0
5733428.157959425,1927000.0
5645308.62570484,1927634.0
5927493.698070117,1929104.0
5793450.195460431,1932918.0
5743658.245939587,1934730.0
5798990.0823878925,1937658.0
5749901.7980084745,1936406.0
5680171.196000963,1935474.0
5770006.266927693,1933118.0
5693628.589139181,1931276.0
5693253.226829826,1930348.0
5727215.681308457,1933442.0
5632408.051711427,1934238.0
5580520.735490816,1927930.0
5832835.521252507,1927236.0
5711556.6246199915,1928974.0
5696820.05828249,1928900.0
5765534.53372234,1932554.0
5796029.520022365,1935428.0
5744793.316376089,1938158.0
5755470.607292184,1936254.0
5647988.446674977,1937702.0
5646110.2798526315,1936220.0
5716181.071864194,1932766.0
5699300.235356005,1933024.0
5723045.291739736,1932940.0
5984602.984698202,1928080.0
5863984.11839524,1930044.0
5800993.490302698,1927636.0
5843800.996668645,1926732.0
5806224.401049934,1927474.0
5730732.334013747,1928894.0
5849327.451259175,1929750.0
5774038.410070642,1928214.0
5826076.017542675,1928740.0
5847395.075703917,1927484.0
5814288.718539456,1927840.0
5818820.86054687,1931028.0
6081531.010343221,1934426.0
5953342.118696256,1936808.0
5958065.578006266,1936828.0
5999265.820590647,1935364.0
5948597.928058825,1934770.0
5912512.608045168,1936344.0
6019948.593858062,1938818.0
5930742.38343717,1939160.0
5899472.305778001,1935620.0
5934711.615238333,1932238.0
5883817.406668784,1932366.0
5877685.876633507,1932768.0
6182648.267116567,1934278.0
6169029.716655782,1937162.0
6101947.55527382,1942006.0
6099831.377448456,1941928.0
6075786.881501115,1941158.0
6044093.991251843,1942528.0
6116885.369638203,1943380.0
6038190.23903284,1945468.0
6066854.6331373425,1947278.0
6159893.775688291,1948956.0
6118820.3264689315,1952962.0
6033196.491086629,1957178.0
6275926.401498865,1959532.0
6178131.687355405,1958550.0
6196790.165464122,1956468.0
6274836.409826576,1957856.0
6297377.790657447,1957738.0
6203560.89629918,1956434.0
6315262.379523224,1954506.0
6192128.154013809,1954270.0
6196170.115073377,1953354.0
6285493.266031339,1951464.0
6217428.303723796,1949346.0
6125091.554698042,1954214.0
6539113.8921737615,1960066.0
6399313.6596688125,1962870.0
6439118.544848752,1966228.0
6459795.613137287,1968736.0
6401704.87937493,1968956.0
6302631.050376445,1971484.0
6403929.7917213,1973932.0
6242846.117817864,1974234.0
6230425.243521486,1976950.0
6285906.651481587,1975036.0
6302544.312931126,1974046.0
6254278.195128821,1970598.0
6555304.263926875,1972260.0
6524080.001954125,1976768.0
6489944.196166494,1980038.0
6534672.54453009,1982350.0
6531524.536269741,1983136.0
6548079.255141515,1983124.0
6563906.062156671,1981228.0
6502160.349210241,1982006.0
6324783.313886786,1981508.0
6320188.664218446,1975614.0
6288966.59933818,1976078.0
6408879.5402394915,1976822.0
6654381.546286071,1978134.0
6564183.786798734,1981046.0
6355479.799314776,1982882.0
6354610.027267863,1983454.0
6394719.8591061365,1984430.0
6327707.027226376,1982502.0
6429368.643736857,1984476.0
6388506.684074807,1984128.0
6510275.068724893,1983756.0
6539678.352313302,1982598.0
6489779.734155994,1982856.0
6429489.822358609,1983334.0
6542096.931580101,1983422.0
6413344.099805771,1983216.0
6399063.959519109,1981980.0
6402532.397717186,1981652.0
6411671.105727527,1983478.0
6450203.927598839,1985262.0
6479961.1650404325,1982544.0
6375680.617359691,1978388.0
6350137.126531726,1979420.0
6603856.053711907,1977324.0
6406317.745508031,1976366.0
6311145.6172106555,1976086.0
6523769.569403494,1977196.0
6430640.848029363,1978402.0
6369589.249506577,1979508.0
6442120.249656549,1979774.0
6430877.2986442,1979168.0
6516355.61229652,1977108.0
6506612.0148802055,1979520.0
6451501.877029623,1983202.0
6400030.301584981,1984994.0
6382442.6445026705,1985324.0
6322955.816822741,1985246.0
6325397.3034116905,1983306.0
6746500.906428219,1982244.0
6615823.869357747,1985764.0
6614624.80767738,1986740.0
6716740.486478602,1985542.0
6810786.000257385,1986972.0
6767005.673195201,1985828.0
6829065.244759529,1982852.0
6839931.168491552,1981328.0
6771168.119223162,1980636.0
6800897.597395893,1983818.0
6758795.812299442,1983682.0
6721932.583111371,1985402.0
6875034.808102849,1988478.0
6753197.790660476,1989452.0
6698354.151702221,1988398.0
6706857.2667792905,1986700.0
6701397.167260349,1988414.0
6638080.023524206,1988410.0
6707501.783077648,1989698.0
6607249.3075304255,1988844.0
6584765.8690949865,1988372.0
6644885.8242256455,1988396.0
6612093.698987459,1991052.0
6500814.789608072,1989882.0
6623864.039678369,1986728.0
6463209.368770181,1991580.0
6374020.508359621,1989082.0
6456917.056985248,1987986.0
6413590.058293438,1986476.0
6382768.92912093,1985924.0
6432193.749914113,1984166.0
6480401.762979847,1985380.0
6527175.568210308,1985088.0
6544234.31310415,1984864.0
6464342.3378751585,1984320.0
6461177.710900764,1986804.0
6582751.006084413,1987184.0
6489903.948689037,1987394.0
6432354.239878492,1985380.0
6457322.470491682,1986536.0
6586795.00380267,1986600.0
6477870.879344888,1988624.0
6481123.887818442,1982592.0
6433428.497850906,1982290.0
6463408.8619768005,1982454.0
6437780.813927698,1982936.0
6320513.323744797,1977734.0
6249647.531532496,1976040.0
6533651.878219791,1977332.0
6423091.713496655,1978270.0
6356141.427576716,1980576.0
6357015.022568748,1980740.0
6377746.189241238,1979478.0
6343341.649910433,1980652.0
6429937.103118268,1980016.0
6344172.442830409,1979598.0
6348583.383536215,1980758.0
6339152.496472643,1982570.0
6248630.116235339,1981398.0
6264962.096233064,1980442.0
6451619.285332059,1981124.0
6343235.143394841,1981388.0
6294065.391036612,1979520.0
6321620.061677319,1981174.0
6322456.429079582,1980166.0
6295049.968447069,1977894.0
6428723.675313929,1978218.0
6431193.410861018,1977746.0
6448250.803156873,1978378.0
6475239.033555384,1976882.0
6405380.732089477,1976694.0
6274057.140393631,1980414.0
6682492.079275268,1982974.0
6551792.458636395,1984020.0
6451049.614064374,1981508.0
6514527.325293461,1980670.0
6482012.940378731,1977768.0
6428095.303334319,1978094.0
6469307.216757707,1979590.0
6373273.760194691,1980908.0
6373712.270242942,1978646.0
6351383.633948955,1979594.0
6406601.404157463,1979374.0
6354843.544116824,1979062.0
6515729.794123146,1978964.0
6437910.90217581,1979182.0
6379493.62767172,1978662.0
6383934.930846282,1976852.0
6377202.5724686645,1975512.0
6230301.574537901,1973706.0
6339926.699478685,1969288.0
6281842.163759165,1967634.0
6294961.5316961985,1967814.0
6316136.198035058,1969418.0
6273316.004584255,1967150.0
6209701.029480646,1966398.0
6361158.138363064,1966376.0
6269281.765616936,1967500.0
6246566.119218945,1964098.0
6294258.231651762,1963530.0
6258265.915889481,1958584.0
6175571.461061804,1955406.0
6232718.266029589,1953916.0
6182365.89908505,1953158.0
6184094.663297598,1953820.0
6112166.088752441,1953340.0
6102229.726491586,1952366.0
6086172.803868072,1952378.0
6264256.3213431975,1953312.0
6167857.916368177,1954898.0
6119316.437792253,1954298.0
6149425.1346838735,1953952.0
6156987.629522264,1953474.0
6104454.594241859,1951940.0
6098370.446427165,1946384.0
6058174.181578597,1945996.0
6062675.657336753,1945394.0
6059170.834782287,1947728.0
6010150.439371492,1948406.0
6019859.372670887,1949040.0
6238049.646964696,1949582.0
6255579.853871665,1950666.0
6207429.672359347,1948310.0
6216618.3546192525,1947452.0
6324558.589189775,1947366.0
6326811.038805078,1948132.0
