timestamp,cpu_usage,assigned_mem
1209600,6276035.308040864,1986350.0
1209900,6219367.923409251,1987570.0
1210200,6246654.768215014,1988396.0
1210500,6228661.1207587635,1988116.0
1210800,6131961.253479797,1987970.0
1211100,6356275.274121323,1989952.0
1211400,6260927.665703011,1991812.0
1211700,6229849.868505742,1992188.0
1212000,6318196.173646111,1992006.0
1212300,6381282.164168262,1991520.0
1212600,6289880.306593644,1989998.0
1212900,6340046.468743002,1989032.0
1213200,6302571.228406109,1985252.0
1213500,6242485.892226401,1987564.0
1213800,6206232.957554165,1991330.0
1214100,6132623.270886676,1989324.0
1214400,6142332.691996157,1985880.0
1214700,6330841.838258124,1984992.0
1215000,6199626.716271379,1982434.0
1215300,6145881.430726663,1975704.0
1215600,6226124.875601119,1971982.0
1215900,6220131.959300913,1974502.0
1216200,6180248.639736739,1975478.0
1216500,6258869.412738954,1976242.0
1216800,6123950.497767394,1975878.0
1217100,6111380.132761101,1974636.0
1217400,6090165.942410558,1970456.0
1217700,5997433.683245021,1966592.0
1218000,6060315.133014026,1965712.0
1218300,6195726.924306164,1967900.0
1218600,6072301.047254862,1958096.0
1218900,6032218.454617242,1956396.0
1219200,6101655.987818642,1950688.0
1219500,6094858.945451513,1950386.0
1219800,6051214.341023588,1953118.0
1220100,6110685.060081461,1955398.0
1220400,6005091.688535044,1958222.0
1220700,6018768.284469015,1960322.0
1221000,6109054.631497015,1962184.0
1221300,6008329.897490883,1962472.0
1221600,5826125.379948096,1963214.0
1221900,6083548.301318355,1965506.0
1222200,5968076.634467349,1966986.0
1222500,5898958.4336119965,1966880.0
1222800,5996348.181822586,1965334.0
1223100,6066740.35953978,1965230.0
1223400,5964933.979548827,1962500.0
1223700,5905285.960404463,1961462.0
1224000,5836756.347651874,1963532.0
1224300,5852593.104327314,1964540.0
1224600,5877043.803808279,1959442.0
1224900,5782038.563896378,1946674.0
1225200,5754375.543794328,1944540.0
1225500,6008478.84284285,1946622.0
1225800,5929744.904954821,1949226.0
1226100,6140705.123237323,1949428.0
1226400,6064988.615186018,1945238.0
1226700,6013874.369385457,1943600.0
1227000,6081231.220613716,1943854.0
1227300,6121662.2343564825,1941176.0
1227600,5943483.637148315,1940968.0
1227900,5935758.838284146,1941234.0
1228200,6003326.5889974395,1941806.0
1228500,5979436.728955894,1943452.0
1228800,5898737.490554631,1944102.0
1229100,6086938.148758061,1946318.0
1229400,5972106.981802954,1947384.0
1229700,5895620.475684112,1945928.0
1230000,5971504.659185036,1944814.0
1230300,5847921.446850009,1942690.0
1230600,5838102.954393388,1941586.0
1230900,5913002.378690716,1940278.0
1231200,5830438.4996829,1940666.0
1231500,5771245.129848761,1940290.0
1231800,5805177.0366099365,1940082.0
1232100,5748402.448029819,1941820.0
1232400,5693760.696899863,1941750.0
1232700,5927148.4106183015,1941174.0
1233000,5784115.279926876,1940186.0
1233300,5742042.389966042,1937368.0
1233600,5794918.615415387,1936180.0
1233900,5771439.064093819,1936144.0
1234200,5732787.218424699,1934800.0
1234500,5752615.806832963,1932282.0
1234800,5680123.868813647,1932016.0
1235100,5736965.983784984,1931464.0
1235400,5788724.075941338,1928286.0
1235700,5733428.157959425,1927000.0
1236000,5645308.62570484,1927634.0
1236300,5927493.698070117,1929104.0
1236600,5793450.195460431,1932918.0
1236900,5743658.245939587,1934730.0
1237200,5798990.0823878925,1937658.0
1237500,5749901.7980084745,1936406.0
1237800,5680171.196000963,1935474.0
1238100,5770006.266927693,1933118.0
1238400,5693628.589139181,1931276.0
1238700,5693253.226829826,1930348.0
1239000,5727215.681308457,1933442.0
1239300,5632408.051711427,1934238.0
1239600,5580520.735490816,1927930.0
1239900,5832835.521252507,1927236.0
1240200,5711556.6246199915,1928974.0
1240500,5696820.05828249,1928900.0
1240800,5765534.53372234,1932554.0
1241100,5796029.520022365,1935428.0
1241400,5744793.316376089,1938158.0
1241700,5755470.607292184,1936254.0
1242000,5647988.446674977,1937702.0
1242300,5646110.2798526315,1936220.0
1242600,5716181.071864194,1932766.0
